BandName,BandFWHM,BandMin,BandMax,BandCenter,BandSuffix,sr,landsatTM_sr
CA,15.98,434.97,450.95,442.96,_band1.tif$,1,0
Blue,60.04,452.02,512.06,482.04,_band2.tif$,2,1
Green,57.33,532.74,590.07,561.41,_band3.tif$,3,2
Red,37.47,635.85,673.32,654.59,_band4.tif$,4,3
NIR,28.25,850.54,878.79,864.67,_band5.tif$,5,4
SWIR1,84.72,1566.5,1651.22,1608.86,_band6.tif$,6,5
SWIR2,186.66,2107.4,2294.06,2200.73,_band7.tif$,7,6
Pan,172.4,503.3,675.7,589.5,_band8.tif$,0,0
Cirrus,20.39,1363.24,1383.63,1373.43,_band9.tif$,0,0
TIRS1,588,10602,11190,10896,_band10.tif$,0,0
TIRS2,1011,11500,12511,12005.5,_band11.tif$,0,0
